# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = bernoulli_4.data.R
# init = 2 (Default)
# random
#   seed = 1207203908
# output
#   file = bernoulli_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.1195
# Diagonal elements of inverse mass matrix:
# 0.450186
-7.64301,0.946673,1.1195,2,3,0,0.346808
-7.64938,0.997551,1.1195,1,1,0,0.353905
-7.86633,0.922999,1.1195,2,3,0,0.246402
-7.86633,0.688416,1.1195,2,3,0,0.246402
-7.66973,0.998346,1.1195,2,3,0,0.368065
-8.10211,0.83884,1.1195,1,1,0,0.470454
-7.81625,1,1.1195,2,3,0,0.255954
-7.81625,0.878109,1.1195,2,3,0,0.255954
-9.72658,0.649388,1.1195,2,3,0,0.111281
-7.75178,0.948288,1.1195,2,3,0,0.270846
-8.30442,0.842779,1.1195,1,1,0,0.192198
-7.64402,0.956236,1.1195,2,3,0,0.348159
-7.69281,0.96157,1.1195,2,3,0,0.379233
-7.64507,1,1.1195,1,1,0,0.349437
-7.66631,0.991786,1.1195,1,1,0,0.366104
-7.70252,0.923352,1.1195,2,3,0,0.383219
-7.84691,0.943029,1.1195,1,1,0,0.424368
-7.79397,1,1.1195,1,1,0,0.411696
-8.43062,0.876166,1.1195,2,3,0,0.513552
-7.68693,1,1.1195,1,1,0,0.376649
-7.66302,0.953148,1.1195,2,3,0,0.364098
-7.98351,0.902511,1.1195,2,3,0,0.228041
-7.69198,0.943014,1.1195,2,3,0,0.289778
-7.64289,0.993061,1.1195,2,3,0,0.320204
-7.66077,0.996768,1.1195,2,3,0,0.304847
-7.67922,0.993459,1.1195,1,1,0,0.295164
-7.92611,0.920367,1.1195,1,1,0,0.236477
-9.08831,0.730722,1.1195,1,1,0,0.139108
-9.94833,0.854998,1.1195,1,1,0,0.103448
-9.40701,1,1.1195,1,1,0,0.124087
-8.04872,1,1.1195,1,1,0,0.219432
-7.86029,1,1.1195,1,1,0,0.247486
-8.27787,0.926807,1.1195,2,3,0,0.494936
-7.82919,1,1.1195,1,1,0,0.420321
-7.63817,0.724427,1.1195,2,3,0,0.333532
-7.65133,0.996308,1.1195,2,3,0,0.311507
-7.76594,0.922013,1.1195,2,3,0,0.404131
-9.95426,0.401533,1.1195,1,1,0,0.639743
-7.65312,1,1.1195,2,3,0,0.357125
-7.64953,0.928588,1.1195,2,3,0,0.354045
-7.68745,0.833339,1.1195,2,3,0,0.376885
-7.68745,0.641575,1.1195,1,1,0,0.376885
